#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         830         840       2.8473866e-05    2.16644e-07    2.1329549e-05    1.62510e-07    3.8871139e-05    2.95361e-07       -25.09%     36.52%
         840         850       2.6259597e-05    2.11666e-07    1.9661553e-05    1.58713e-07    3.5866074e-05    2.88696e-07       -25.13%     36.58%
         850         860       2.4031118e-05    2.00370e-07    1.7983824e-05    1.50168e-07    3.2840555e-05    2.73437e-07       -25.16%     36.66%
         860         870       2.2118584e-05    1.89602e-07    1.6546969e-05    1.42037e-07    3.0237192e-05    2.58855e-07       -25.19%     36.70%
         870         880       2.0537262e-05    1.80348e-07    1.5352797e-05    1.35008e-07    2.8097168e-05    2.46407e-07       -25.24%     36.81%
         880         890       1.8727371e-05    1.71716e-07    1.3992666e-05    1.28477e-07    2.5634976e-05    2.34750e-07       -25.28%     36.89%
         890         900       1.7352869e-05    1.67363e-07    1.2957791e-05    1.25158e-07    2.3768807e-05    2.28921e-07       -25.33%     36.97%
         900         910       1.5981866e-05    1.67650e-07    1.1929899e-05    1.25352e-07    2.1898891e-05    2.29356e-07       -25.35%     37.02%
         910         920       1.5049733e-05    1.60527e-07    1.1227955e-05    1.19967e-07    2.0633703e-05    2.19722e-07       -25.39%     37.10%
         920         930       1.3612205e-05    1.48700e-07    1.0150410e-05    1.11067e-07    1.8672464e-05    2.03652e-07       -25.43%     37.17%
         930         940       1.2262208e-05    1.37797e-07    9.1372599e-06    1.02852e-07    1.6833793e-05    1.88866e-07       -25.48%     37.28%
         940         950       1.1620495e-05    1.31667e-07    8.6580240e-06    9.82507e-08    1.5954271e-05    1.80507e-07       -25.49%     37.29%
         950         960       1.0827462e-05    1.24577e-07    8.0602811e-06    9.28828e-08    1.4879166e-05    1.70940e-07       -25.56%     37.42%
         960         970       1.0024761e-05    1.18277e-07    7.4621426e-06    8.81638e-08    1.3776939e-05    1.62336e-07       -25.56%     37.43%
         970         980       9.2042137e-06    1.12377e-07    6.8467566e-06    8.37141e-08    1.2658639e-05    1.54343e-07       -25.61%     37.53%
         980         990       8.6452768e-06    1.08107e-07    6.4292565e-06    8.05092e-08    1.1893058e-05    1.48522e-07       -25.63%     37.57%
         990        1000       8.0950141e-06    1.05342e-07    6.0153983e-06    7.83899e-08    1.1145587e-05    1.44848e-07       -25.69%     37.68%
