# N3LO PTh1 cross section per bin in unit of fb at 14TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125 GeV
# PTh1(min) PTh1(max) scale=(muR/mu0,muF/mu0):
# PTh1(min) PTh1(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
680. 690. 0.15355370000000002 0.1538332 0.1562471 0.14773329999999998 0.1473447 0.1610626 0.1600416
690. 700. 0.1527333 0.1492223 0.1496121 0.144528 0.1404447 0.1583716 0.1595434
700. 710. 0.1389521 0.1377995 0.1399204 0.1341021 0.1329749 0.1423253 0.143592
710. 720. 0.1391762 0.1385106 0.1390836 0.133334 0.1314131 0.1443002 0.14783839999999998
720. 730. 0.1286067 0.1298018 0.1322767 0.1246353 0.1238935 0.1325692 0.1356398
730. 740. 0.12380379999999999 0.12208830000000001 0.1245971 0.1200471 0.1173681 0.1252607 0.1273932
740. 750. 0.11606150000000001 0.114599 0.1166901 0.1119412 0.1109872 0.1171242 0.1148743
750. 760. 0.119851 0.11762430000000001 0.1171203 0.11413019999999999 0.1114626 0.1215135 0.1230621
760. 770. 0.1056005 0.10570950000000001 0.1065522 0.1020754 0.10239689999999999 0.1051963 0.1050731
770. 780. 0.1041272 0.10405009999999999 0.1050056 0.1013279 0.1005353 0.10785879999999999 0.10771080000000001
780. 790. 0.09895325999999999 0.09830501 0.1012169 0.09566264 0.0943924 0.1016031 0.1046287
790. 800. 0.09548076000000001 0.09524869999999999 0.09642219 0.09267106 0.09173465 0.09767537999999999 0.09628395999999999
800. 810. 0.09110916999999999 0.09133880999999999 0.0920746 0.08822862000000001 0.08738783 0.09341719999999999 0.09235414
810. 820. 0.09389379 0.09250175 0.09504873999999999 0.08886346 0.08709430000000001 0.09916461 0.10031
820. 830. 0.07937150000000001 0.08045524999999999 0.07960147000000001 0.07915594999999999 0.07876859 0.0787537 0.07935295
830. 840. 0.08208992999999999 0.08166045999999999 0.08411536 0.07960173 0.07832303 0.08318944 0.08394476999999999
840. 850. 0.08255039 0.0798942 0.08219712000000001 0.07739687 0.07597184 0.08692048000000001 0.08796458
850. 860. 0.07612366 0.07506686 0.07678098 0.07325833000000001 0.0724392 0.07803951 0.08083398
860. 870. 0.07308495 0.07269894 0.07408946 0.07146362 0.07011658 0.07602168000000001 0.0775541
870. 880. 0.06798734 0.06785084999999999 0.06894238 0.06649718 0.06570058000000001 0.06973333 0.07088538
880. 890. 0.07084715999999999 0.0692389 0.07259594999999999 0.06727483000000001 0.06586037 0.07486256999999999 0.07695036
890. 900. 0.06503191 0.06476679 0.06590391999999999 0.06252582 0.06248607 0.07063644 0.07152096
900. 910. 0.061465139999999995 0.061098280000000005 0.061033620000000004 0.05941474000000001 0.05888174 0.06157402 0.0607982
910. 920. 0.0621529 0.06115005 0.06332118 0.05960179 0.05837335 0.06362047 0.06620419
920. 930. 0.05510374999999999 0.05475344 0.05496356 0.053865090000000004 0.05331309 0.05538564 0.05529792
930. 940. 0.05547655 0.05516295 0.05159632 0.05353625 0.05275745 0.05155817 0.050746719999999995
940. 950. 0.053092349999999996 0.05284533 0.05381063 0.05141845 0.05067587 0.0615071 0.06281945
950. 960. 0.053261380000000004 0.051788310000000004 0.054845370000000004 0.05119535 0.048663559999999995 0.05189757 0.056226059999999994
960. 970. 0.04780116 0.0478345 0.047617980000000004 0.04649617 0.045880010000000006 0.048022079999999995 0.0480937
970. 980. 0.04790791 0.04727956 0.047595750000000006 0.04542256 0.04456016 0.04805877 0.04857883
980. 990. 0.04836773 0.04782466 0.04955621 0.045794369999999994 0.04509019 0.05215634 0.05284585
990. 1000. 0.03756287 0.03856698 0.03592025 0.03818477 0.03841746 0.03521624 0.03251257
