# NNLO PTh2 cross section per bin in unit of fb at 14TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125 GeV
# PTh2(min) PTh2(max) scale=(muR/mu0,muF/mu0):
# PTh2(min) PTh2(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
700. 710. 0.08543467 0.08408757 0.08702436 0.08155902 0.07960709999999999 0.08837329999999999 0.08886129
710. 720. 0.08248050999999999 0.08160815 0.08405097 0.07880926999999999 0.07729989 0.0857155 0.0868916
720. 730. 0.07802585 0.07691966 0.07935169 0.07438281 0.07258449 0.08137152 0.08259282
730. 740. 0.07521744 0.07387898000000001 0.07678468 0.07179457 0.06989371 0.07861093 0.07942618
740. 750. 0.07199324 0.07104411 0.07325356 0.067925 0.0666119 0.0747246 0.07463461
750. 760. 0.06997415 0.06818816 0.07167414 0.0663682 0.06433795 0.07344003 0.07506572
760. 770. 0.06632379 0.06515402 0.0677617 0.06305322000000001 0.061451839999999994 0.06907328 0.07016267
770. 780. 0.06335473 0.06204333 0.06465087 0.060235380000000005 0.058567480000000005 0.06645716 0.06698923
780. 790. 0.060845830000000004 0.05889373 0.06118234 0.057658839999999996 0.055733809999999995 0.06367460999999999 0.06325414
790. 800. 0.05796726000000001 0.05675446 0.058267229999999996 0.055009459999999996 0.05358479 0.05957914 0.06076985
800. 810. 0.05476953 0.05419169 0.055850689999999995 0.05226731 0.0510887 0.057125659999999995 0.05789148
810. 820. 0.052587720000000004 0.051519720000000005 0.053337510000000005 0.04985245 0.048753750000000005 0.05516302 0.055023520000000006
820. 830. 0.049993789999999996 0.049176819999999996 0.051713970000000005 0.0476669 0.046613039999999994 0.0521832 0.053438030000000004
830. 840. 0.04816281 0.0474131 0.049771470000000005 0.04690572 0.04500108 0.050036330000000004 0.05113345
840. 850. 0.04688944 0.046054319999999996 0.047941269999999994 0.04462630000000001 0.04333579 0.04909651 0.04986271
850. 860. 0.045441459999999996 0.044815640000000004 0.04681309 0.04338102 0.04219528 0.047640970000000005 0.0486292
860. 870. 0.04228058 0.04127923 0.043160250000000004 0.04036771 0.03906228 0.043742449999999995 0.044017520000000004
870. 880. 0.04057852 0.04015731 0.041904510000000006 0.03932202 0.03812579 0.04275471 0.04429040000000001
880. 890. 0.0390284 0.03834516 0.039582719999999995 0.03717571 0.036225850000000004 0.04074108 0.04090466
890. 900. 0.03725933 0.03706329 0.03802938 0.03556556 0.0350827 0.03865615 0.03909727
900. 910. 0.03735509 0.03653684 0.03840686 0.03542966 0.034399940000000004 0.03916218 0.03983514
910. 920. 0.03530175 0.03460631 0.03623524 0.03365769 0.03271343 0.03678184 0.03750152
920. 930. 0.03216421 0.03150493 0.032668710000000004 0.030894389999999997 0.030055730000000003 0.03308188 0.03325855
930. 940. 0.032436019999999996 0.03160533 0.033237380000000004 0.03071322 0.02973654 0.03404372 0.03463916
940. 950. 0.030509750000000002 0.03012373 0.031050549999999996 0.02923383 0.02877545 0.03175546 0.03194852
950. 960. 0.02902955 0.02848765 0.029983879999999997 0.0277861 0.026998360000000002 0.03015905 0.03042334
960. 970. 0.02925348 0.02818654 0.02982156 0.02777115 0.02664743 0.03082124 0.03182263
970. 980. 0.0267763 0.02629797 0.027530699999999998 0.025580310000000002 0.025181750000000003 0.028404099999999998 0.02834126
980. 990. 0.02592248 0.025771040000000002 0.02690604 0.02469874 0.02426867 0.026961609999999997 0.027774359999999998
990. 1000. 0.0242941 0.02442134 0.0249167 0.02340093 0.02321559 0.025158060000000003 0.025479309999999998
